IP 地址,已发�?已接�?丢包�?平均延迟,下载速度 (MB/s),,,
104.19.219.62,4,4,0,45.78,13.96
104.17.67.1,4,4,0,44.64,13.56
104.17.76.133,4,4,0,44.94,13.49
104.19.209.229,4,4,0,44.02,13.35
104.17.200.233,4,4,0,45.12,13.27
104.18.47.31,4,4,0,44.24,13.08
104.18.82.224,4,4,0,45.43,12.96
104.18.150.37,4,4,0,44.56,12.9
104.18.42.5,4,4,0,44.63,12.63
104.18.45.240,4,4,0,45.75,11.7
104.17.169.199,4,4,0,45.64,11.6
104.17.207.156,4,4,0,44.9,11.52
104.17.165.43,4,4,0,45.46,11.42
104.16.193.42,4,4,0,45.56,11.4
104.17.170.226,4,4,0,44.04,11.02
104.18.162.83,4,4,0,82.65,11.01
104.17.111.33,4,4,0,45.67,10.96
104.17.216.92,4,4,0,45.22,10.45
104.18.146.226,4,4,0,97.2,10.25
104.17.212.127,4,4,0,45.62,10.25
104.17.197.202,4,4,0,111.76,10
104.18.62.185,4,4,0,81.08,9.32
104.18.39.138,4,4,0,45.32,9.24
104.18.78.66,4,4,0,108.78,9.16
104.17.130.9,4,4,0,97.33,8.92
104.18.159.29,4,4,0,117.98,8.75
162.159.5.55,4,4,0,129.99,8.74
104.16.195.19,4,4,0,77.37,8.68
104.16.154.78,4,4,0,62.68,8.4
198.41.206.76,4,4,0,119.71,7.97
104.19.210.252,4,4,0,105.68,7.93
104.19.199.227,4,4,0,118.82,7.85
198.41.211.74,4,4,0,81.8,7.81
104.18.229.95,4,4,0,121.85,7.78
104.16.207.101,4,4,0,69.26,7.62
162.159.34.117,4,4,0,109.75,7.58
104.16.244.98,4,4,0,63.35,7.58
188.114.97.128,4,4,0,155.21,7.53
104.17.131.139,4,4,0,67.99,7.52
104.17.73.12,4,4,0,108.75,7.42
104.16.202.126,4,4,0,73.16,7.15
162.159.19.141,4,4,0,149.39,7.12
104.18.244.93,4,4,0,153.47,7.11
104.17.161.134,4,4,0,46.85,7.03
104.16.145.51,4,4,0,65.2,7.02
104.16.146.157,4,4,0,60.24,7.01
104.17.203.52,4,4,0,68.92,6.97
